# Dictionary extracted from https://synagonism.net/otenet/gr/gpd.html
# Thanks to Nikos Kasseluris at https://synagonism.net
αβάκιο α-βά-κι-ο
άθικτη ά-θι-κτη
Αιγαίο Αι-γαί-ο
αίθουσα αί-θου-σα
αινιγματική αι-νιγ-μα-τι-κή
αινιγματικός αι-νιγ-μα-τι-κός
Αϊνώ Α-ϊ-νώ
αιολοδωρική αι-ο-λο-δω-ρι-κή
αιολοδωρικής αι-ο-λο-δω-ρι-κής
αίρεση αί-ρε-ση
αιρετικούς αι-ρε-τι-κούς
αίροντας αί-ρο-ντας
αίρω αί-ρω
αισθάνεσαι αι-σθά-νε-σαι
αισθάνεται αι-σθά-νε-ται
αισθανθεί αι-σθαν-θεί
αισθάνθηκα αι-σθάν-θη-κα
αισθανθώ αι-σθαν-θώ
αισθάνομαι αι-σθά-νο-μαι
αισθανόμενος αι-σθα-νό-με-νος
αισθανόμουν αι-σθα-νό-μουν
αισθανόμουνα αι-σθα-νό-μου-να
αισθάνονται αι-σθά-νο-νται
αισθάνσου αι-σθάν-σου
αισθήματα αι-σθή-μα-τα
αισθήσεων αι-σθή-σε-ων
αίσθηση αί-σθη-ση
αίσθησης αί-σθη-σης
αισθητές αι-σθη-τές
αισθητή αι-σθη-τή
αισθητών αι-σθη-τών
αισιοδοξία αι-σι-ο-δο-ξί-α
αισιόδοξος αι-σι-ό-δο-ξος
Αϊτή Α-ϊ-τή
αίτημα αί-τη-μα
αιτήματα αι-τή-μα-τα
αίτηση αί-τη-ση
αιτία αι-τί-α
αιτιακά αι-τι-α-κά
αιτιακές αι-τι-α-κές
αιτιακή αι-τι-α-κή
αιτιακής αι-τι-α-κής
αιτίας αι-τί-ας
αιτιάσεων αι-τι-ά-σε-ων
αιτιατική αι-τι-α-τι-κή
αιτίες αι-τί-ες
αιτιοκρατία αι-τι-ο-κρα-τί-α
αιτιοκρατική αι-τι-ο-κρα-τι-κή
αιτιολογική αι-τι-ο-λο-γι-κή
αιτιότητας αι-τι-ό-τη-τας
αιτιώδες αι-τι-ώ-δες
αιτιώδης αι-τι-ώ-δης
αιτιών αι-τι-ών
Αιτωλική Αι-τω-λι-κή
αιφνίδια αιφ-νί-δι-α
αιφνίδιος αιφ-νί-δι-ος
αιχμή αιχ-μή
αιώνα αι-ώ-να
αιώνας αι-ώ-νας
αιώνες αι-ώ-νες
αιώνια αι-ώ-νι-α
ακαδημαϊκού α-κα-δη-μα-ϊ-κού
ακαδημαϊκούς α-κα-δη-μα-ϊ-κούς
ακαδημία α-κα-δη-μί-α
ακάθεκτα α-κά-θε-κτα
ακάθεκτη α-κά-θε-κτη
ακάθεκτος α-κά-θε-κτος
ακαριαίος α-κα-ρι-αί-ος
ακατάληπτα α-κα-τά-λη-πτα
ακατάλληλο α-κα-τά-λλη-λο
ακατανίκητη α-κα-τα-νί-κη-τη
ακατανόητο α-κα-τα-νό-η-το
ακαταπαύστως α-κα-τα-παύ-στως
ακέραια α-κέ-ραι-α
ακέραιη α-κέ-ραι-η
ακίνητη α-κί-νη-τη
ακμή ακ-μή
ακοή α-κο-ή
ακολουθεί α-κο-λου-θεί
ακολούθησαν α-κο-λού-θη-σαν
ακολουθίας α-κο-λου-θί-ας
ακολουθίες α-κο-λου-θί-ες
ακολουθούνταν α-κο-λου-θού-νταν
ακολουθούσαν α-κο-λου-θού-σαν
ακολουθώ α-κο-λου-θώ
ακόμα α-κό-μα
ακόμη α-κό-μη
ακορντεόν α-κορ-ντε-όν
άκουγα ά-κου-γα
ακούγανε α-κού-γα-νε
άκουγε ά-κου-γε
ακούγομαι α-κού-γο-μαι
ακουγόμουνα α-κου-γό-μου-να
ακούγονται α-κού-γο-νται
ακούγοντας α-κού-γο-ντας
ακούγω α-κού-γω
ακούει α-κού-ει
ακούμε α-κού-με
ακούς α-κούς
άκουσα ά-κου-σα
άκουσαν ά-κου-σαν
άκουσε ά-κου-σε
ακούσει α-κού-σει
ακούσεις α-κού-σεις
ακούσουν α-κού-σουν
ακούστε α-κού-στε
ακουστεί α-κου-στεί
ακούστηκα α-κού-στη-κα
ακούσω α-κού-σω
ακούτε α-κού-τε
ακούω α-κού-ω
Ακράγαντα Α-κρά-γα-ντα
ακράδαντη α-κρά-δα-ντη
ακραίος α-κραί-ος
ακραίων α-κραί-ων
άκρατο ά-κρα-το
άκρατος ά-κρα-τος
άκρατου ά-κρα-του
ακριβά α-κρι-βά
ακρίβεια α-κρί-βει-α
ακριβές α-κρι-βές
ακριβό α-κρι-βό
ακριβοδίκαιος α-κρι-βο-δί-και-ος
ακριβώς α-κρι-βώς
άκριτα ά-κρι-τα
άκρο ά-κρο
ακρόαση α-κρό-α-ση
ακρογωνιαίος α-κρο-γω-νι-αί-ος
ακρόπολι α-κρό-πο-λι
άκρως ά-κρως
ακτές α-κτές
ακτή α-κτή
ακτινοβολία α-κτι-νο-βο-λί-α
ακτινωτό α-κτι-νω-τό
ακυρώνει α-κυ-ρώ-νει
αλβανική αλ-βα-νι-κή
Αλβανός Αλ-βα-νός
’λβιν ’λ-βιν
άλγεβρα άλ-γε-βρα
αλγοριθμική αλ-γο-ριθ-μι-κή
αλγόριθμος αλ-γό-ριθ-μος
αλδοστερόνη αλ-δο-στε-ρό-νη
Αλεξάντροβιτς Α-λε-ξά-ντρο-βιτς
αλήθεια α-λή-θεια
αλήθειες α-λή-θειες
αληθείς α-λη-θείς
αληθής α-λη-θής
αληθινά α-λη-θι-νά
αληθινή α-λη-θι-νή
αληθινό α-λη-θι-νό
αληθινός α-λη-θι-νός
αλκαλική αλ-κα-λι-κή
αλλά α-λλά
άλλα ά-λλα
αλλαγή α-λλα-γή
αλλαγών α-λλα-γών
άλλαζε ά-λλα-ζε
αλλάζει α-λλά-ζει
αλλάζουν α-λλά-ζουν
αλλάζω α-λλά-ζω
άλλαξε ά-λλα-ξε
αλλάξει α-λλά-ξει
αλλάξουν α-λλά-ξουν
αλλεργία α-λλερ-γί-α
άλλες ά-λλες
άλλη ά-λλη
αλληλεγγύης α-λλη-λε-γγύ-ης
αλληλενεργεί α-λλη-λε-νερ-γεί
αλληλεπιδράσεις α-λλη-λε-πι-δρά-σεις
αλληλεπιδράσεων α-λλη-λε-πι-δρά-σε-ων
αλληλεπίδραση α-λλη-λε-πί-δρα-ση
αλληλοαποκλεισμός α-λλη-λο-α-πο-κλει-σμός
αλληλογραφία α-λλη-λο-γρα-φί-α
αλληλοσυμπληρώνονται α-λλη-λο-συ-μπλη-ρώ-νο-νται
αλληλουχίες α-λλη-λου-χί-ες
άλλης ά-λλης
αλλιώς α-λλιώς
άλλο ά-λλο
άλλοι ά-λλοι
άλλον ά-λλον
άλλος ά-λλος
άλλου ά-λλου
άλλους ά-λλους
άλλων ά-λλων
άλλωστε ά-λλω-στε
άλμα άλ-μα
Αλμπινιόνι Αλ-μπι-νιό-νι
Αλόνσο Α-λόν-σο
αλτσχάιμερ αλτσ-χά-ι-μερ
αλυσίδα α-λυ-σί-δα
αλυσιτελής α-λυ-σι-τε-λής
άλυτο ά-λυ-το
άλφα άλ-φα
αλφάβητο αλ-φά-βη-το
’λφρεντ ’λ-φρεντ
άμα ά-μα
αμείβομαι α-μεί-βο-μαι
αμείβονται α-μεί-βο-νται
αμείλικτο α-μεί-λι-κτο
αμερικανική α-με-ρι-κα-νι-κή
αμερικανικής α-με-ρι-κα-νι-κής
αμερικανικό α-με-ρι-κα-νι-κό
αμερικανικός α-με-ρι-κα-νι-κός
αμερικανοί α-με-ρι-κα-νοί
αμερικανός α-με-ρι-κα-νός
αμερικανούς α-με-ρι-κα-νούς
αμερικανών α-με-ρι-κα-νών
Αμερική Α-με-ρι-κή
Αμερικής Α-με-ρι-κής
αμεροληψία α-με-ρο-λη-ψί-α
άμεσα ά-με-σα
άμεσες ά-με-σες
άμεσης ά-με-σης
άμεσο ά-με-σο
άμεσους ά-με-σους
άμεσων ά-με-σων
αμέσως α-μέ-σως
αμετάβατο α-με-τά-βα-το
αμετάβλητη α-με-τά-βλη-τη
αμηχανία α-μη-χα-νί-α
αμινοξύ α-μι-νο-ξύ
αμνιοκέντιση α-μνι-ο-κέ-ντι-ση
αμοιβαδική α-μοι-βα-δι-κή
αμοιβή α-μοι-βή
αμοιβής α-μοι-βής
άμυνας ά-μυ-νας
αμυντικό α-μυ-ντι-κό
αμφεταμίνη αμ-φε-τα-μί-νη
αμφιβληστροειδής αμ-φι-βλη-στρο-ει-δής
αμφίβολη αμ-φί-βο-λη
αμφιβολία αμ-φι-βο-λί-α
αμφιβολίες αμ-φι-βο-λί-ες
αμφιδραστικός αμ-φι-δρα-στι-κός
αμφίδρομη αμ-φί-δρο-μη
αμφίδρομο αμ-φί-δρο-μο
αμφιλεγόμενος αμ-φι-λε-γό-με-νος
αμφισβητεί αμ-φι-σβη-τεί
αμφισβητήσει αμ-φι-σβη-τή-σει
αμφισβήτηση αμ-φι-σβή-τη-ση
αμφισβητήσουν αμ-φι-σβη-τή-σουν
αμφισβητίας αμ-φι-σβη-τί-ας
αμφισβητίες αμ-φι-σβη-τί-ες
αμφισβητώ αμ-φι-σβη-τώ
αμφισημιών αμ-φι-ση-μι-ών
αν αν
ανά α-νά
άναβα ά-να-βα
αναβάθμιση α-να-βάθ-μι-ση
αναβάθμισης α-να-βάθ-μι-σης
άναβε ά-να-βε
ανάβοντας α-νά-βο-ντας
ανάβω α-νά-βω
αναγκάζομαι α-να-γκά-ζο-μαι
αναγκαία α-να-γκαί-α
αναγκαίας α-να-γκαί-ας
αναγκαίες α-να-γκαί-ες
αναγκαίο α-να-γκαί-ο
αναγκαίος α-να-γκαί-ος
αναγκαιότητα α-να-γκαι-ό-τη-τα
αναγκαιότητας α-να-γκαι-ό-τη-τας
αναγκάσει α-να-γκά-σει
αναγκασμένες α-να-γκα-σμέ-νες
αναγκασμένη α-να-γκα-σμέ-νη
αναγκάστηκε α-να-γκά-στη-κε
αναγκαστικά α-να-γκα-στι-κά
ανάγκες α-νά-γκες
ανάγκη α-νά-γκη
ανάγκης α-νά-γκης
αναγκών α-να-γκών
αναγνωρίζει α-να-γνω-ρί-ζει
αναγνωρίζετε α-να-γνω-ρί-ζε-τε
αναγνωρίζουμε α-να-γνω-ρί-ζου-με
αναγνωρίζω α-να-γνω-ρί-ζω
αναγνώστης α-να-γνώ-στης
ανάγονται α-νά-γο-νται
αναδείχθηκαν α-να-δεί-χθη-καν
αναδείχθηκε α-να-δεί-χθη-κε
αναδιαπραγμάτευση α-να-δι-α-πραγ-μά-τευ-ση
αναδιατύπωση α-να-δι-α-τύ-πω-ση
αναδιοργάνωση α-να-δι-ορ-γά-νω-ση
αναδιοργάνωσης α-να-δι-ορ-γά-νω-σης
αναδρομή α-να-δρο-μή
αναδρομική α-να-δρο-μι-κή
αναδρομικός α-να-δρο-μι-κός
αναδύεται α-να-δύ-ε-ται
αναζητηθεί α-να-ζη-τη-θεί
αναζητήσει α-να-ζη-τή-σει
αναζήτηση α-να-ζή-τη-ση
αναζητούμε α-να-ζη-τού-με
αναζητώ α-να-ζη-τώ
αναζωπυρώνω α-να-ζω-πυ-ρώ-νω
αναθέτοντας α-να-θέ-το-ντας
αναθεώρησης α-να-θε-ώ-ρη-σης
αναιμία α-ναι-μί-α
αναίρεση α-ναί-ρε-ση
ανακαίνιση α-να-καί-νι-ση
ανακαλύπτει α-να-κα-λύ-πτει
ανακαλύπτονται α-να-κα-λύ-πτο-νται
ανακαλύπτω α-να-κα-λύ-πτω
ανακάλυψα α-να-κά-λυ-ψα
ανακαλύψει α-να-κα-λύ-ψει
ανακαλύψεων α-να-κα-λύ-ψε-ων
ανακάλυψη α-να-κά-λυ-ψη
ανακαλύψουμε α-να-κα-λύ-ψου-με
ανακατανέμει α-να-κα-τα-νέ-μει
ανακατευόταν α-να-κα-τε-υό-ταν
ανακατεύουμε α-να-κα-τε-ύου-με
ανακατεύω α-να-κα-τε-ύω
ανακλαστική α-να-κλα-στι-κή
ανακλαστικότητα α-να-κλα-στι-κό-τη-τα
ανακλαστικότητας α-να-κλα-στι-κό-τη-τας
ανάκληση α-νά-κλη-ση
ανακοινώνω α-να-κοι-νώ-νω
ανακοίνωσε α-να-κοί-νω-σε
αναλαμβάνω α-να-λαμ-βά-νω
αναληθή α-να-λη-θή
ανάλογα α-νά-λο-γα
αναλογία α-να-λο-γί-α
αναλογίες α-να-λο-γί-ες
αναλογικός α-να-λο-γι-κός
αναλογιών α-να-λο-γι-ών
ανάλογο α-νά-λο-γο
αναλόγως α-να-λό-γως
αναλύσεις α-να-λύ-σεις
ανάλυση α-νά-λυ-ση
αναλυτική α-να-λυ-τι-κή
αναλυτικός α-να-λυ-τι-κός
αναλυτών α-να-λυ-τών
αναλφαβητισμός α-ναλ-φα-βη-τι-σμός
αναλώσιμο α-να-λώ-σι-μο
ανάμεινε α-νά-μει-νε
αναμείνει α-να-μεί-νει
αναμείνω α-να-μεί-νω
αναμεμειγμένα α-να-με-μειγ-μέ-να
αναμεμειγμένο α-να-με-μειγ-μέ-νο
ανάμενα α-νά-με-να
ανάμενε α-νά-με-νε
αναμένομαι α-να-μέ-νο-μαι
αναμενόμενες α-να-με-νό-με-νες
αναμενόμενη α-να-με-νό-με-νη
αναμενόμουν α-να-με-νό-μουν
αναμένοντας α-να-μέ-νο-ντας
αναμένω α-να-μέ-νω
ανάμεσα α-νά-με-σα
αναμεταδιδόμενος α-να-με-τα-δι-δό-με-νος
αναμφίβολα α-ναμ-φί-βο-λα
αναμφισβήτητος α-ναμ-φι-σβή-τη-τος
ανανεώνονται α-να-νε-ώ-νο-νται
ανανέωση α-να-νέ-ω-ση
αναντίρρητα α-να-ντί-ρρη-τα
αναντιστοιχία α-να-ντι-στοι-χί-α
Αναξιμένη Α-να-ξι-μέ-νη
αναπαράγεται α-να-πα-ρά-γε-ται
αναπαράγονται α-να-πα-ρά-γο-νται
αναπαραγωγή α-να-πα-ρα-γω-γή
αναπαραστάσεων α-να-πα-ρα-στά-σε-ων
αναπαράσταση α-να-πα-ρά-στα-ση
αναπαριστούν α-να-πα-ρι-στούν
αναπληρωτής α-να-πλη-ρω-τής
ανάπνεε α-νά-πνε-ε
αναπνέοντας α-να-πνέ-ο-ντας
ανάπνευσε α-νά-πνευ-σε
αναπνεύσει α-να-πνεύ-σει
αναπνευστική α-να-πνευ-στι-κή
αναπνευστικό α-να-πνευ-στι-κό
αναπνεύσω α-να-πνεύ-σω
αναπνέω α-να-πνέ-ω
αναπνοή α-να-πνο-ή
ανάποδο α-νά-πο-δο
αναπόδραστος α-να-πό-δρα-στος
αναπότρεπτες α-να-πό-τρε-πτες
αναπόφευκτες α-να-πό-φευ-κτες
αναπόφευκτη α-να-πό-φευ-κτη
αναπόφευκτο α-να-πό-φευ-κτο
ανάπτυξη α-νά-πτυ-ξη
ανάπτυξης α-νά-πτυ-ξης
αναπτύσσει α-να-πτύ-σσει
αναπτύσσεται α-να-πτύ-σσε-ται
αναπτύσσομαι α-να-πτύ-σσο-μαι
αναπτύσσονται α-να-πτύ-σσο-νται
αναπτύσσουν α-να-πτύ-σσουν
αναπτύσσω α-να-πτύ-σσω
αναπτυχθεί α-να-πτυ-χθεί
αναπτύχθηκε α-να-πτύ-χθη-κε
ανάρπαστο α-νάρ-πα-στο
ανάρρωνα α-νά-ρρω-να
ανάρρωνε α-νά-ρρω-νε
αναρρώνω α-να-ρρώ-νω
ανάρρωσε α-νά-ρρω-σε
αναρρώσει α-να-ρρώ-σει
αναρρώσω α-να-ρρώ-σω
αναρχία α-ναρ-χί-α
αναρχικός α-ναρ-χι-κός
αναρχισμός α-ναρ-χι-σμός
ανασκαφές α-να-σκα-φές
ανασκαφή α-να-σκα-φή
ανάστημα α-νά-στη-μα
αναστοχασμός α-να-στο-χα-σμός
αναστοχασμού α-να-στο-χα-σμού
ανασυγκροτείται α-να-συ-γκρο-τεί-ται
ανατέλλον α-να-τέ-λλον
ανατολικής α-να-το-λι-κής
ανατρέπονται α-να-τρέ-πο-νται
ανατριχιαστικός α-να-τρι-χι-α-στι-κός
ανατροπές α-να-τρο-πές
ανατροπή α-να-τρο-πή
ανατροπής α-να-τρο-πής
ανατυπώνεται α-να-τυ-πώ-νε-ται
ανατυπώσεις α-να-τυ-πώ-σεις
ανατύπωση α-να-τύ-πω-ση
αναφέρει α-να-φέ-ρει
αναφέρεται α-να-φέ-ρε-ται
αναφερθεί α-να-φερ-θεί
αναφέρομαι α-να-φέ-ρο-μαι
αναφερόμενες α-να-φε-ρό-με-νες
αναφερόμενο α-να-φε-ρό-με-νο
αναφέρονται α-να-φέ-ρο-νται
αναφερόταν α-να-φε-ρό-ταν
αναφέρουμε α-να-φέ-ρου-με
αναφέρω α-να-φέ-ρω
ανάφλεξη α-νά-φλε-ξη
αναφορά α-να-φο-ρά
αναφορές α-να-φο-ρές
αναφορών α-να-φο-ρών
αναφύομαι α-να-φύ-ο-μαι
αναχωρείς α-να-χω-ρείς
αναχώρησα α-να-χώ-ρη-σα
αναχώρησε α-να-χώ-ρη-σε
αναχωρήσει α-να-χω-ρή-σει
αναχωρήσω α-να-χω-ρή-σω
αναχωρούσα α-να-χω-ρού-σα
αναχωρώ α-να-χω-ρώ
αναχωρώντας α-να-χω-ρώ-ντας
άναψα ά-να-ψα
άναψε ά-να-ψε
ανάψει α-νά-ψει
ανάψω α-νά-ψω
Ανδρεαδάκης Αν-δρε-α-δά-κης
Ανδρικόπουλος Αν-δρι-κό-που-λος
Ανδριώτης Αν-δρι-ώ-της
ανδρογόνο αν-δρο-γό-νο
ανέβα α-νέ-βα
ανεβάζει α-νε-βά-ζει
ανεβάζω α-νε-βά-ζω
ανέβαινα α-νέ-βαι-να
ανέβαινε α-νέ-βαι-νε
ανεβαίνοντας α-νε-βαί-νο-ντας
ανεβαίνουμε α-νε-βαί-νου-με
ανεβαίνω α-νε-βαί-νω
ανεβασμένο α-νε-βα-σμέ-νο
ανεβεί α-νε-βεί
ανέβει α-νέ-βει
ανέβηκα α-νέ-βη-κα
ανέβω α-νέ-βω
ανέθετε α-νέ-θε-τε
ανέκαθεν α-νέ-κα-θεν
ανέκδοτο α-νέκ-δο-το
ανεκτά α-νε-κτά
ανεκτή α-νε-κτή
ανεκτό α-νε-κτό
ανελάμβανε α-νε-λάμ-βα-νε
ανελέητος α-νε-λέ-η-τος
ανέλιξη α-νέ-λι-ξη
ανέμενα α-νέ-με-να
ανεμοβλογιά α-νε-μο-βλο-γιά
ανεξαρτησία α-νε-ξαρ-τη-σί-α
ανεξάρτητα α-νε-ξάρ-τη-τα
ανεξάρτητη α-νε-ξάρ-τη-τη
ανεξάρτητης α-νε-ξάρ-τη-της
ανεξάρτητο α-νε-ξάρ-τη-το
ανεξάρτητος α-νε-ξάρ-τη-τος
ανεξέλεγκτο α-νε-ξέ-λεγκ-το
ανεπανόρθωτα α-νε-πα-νόρ-θω-τα
ανεπάρκεια α-νε-πάρ-κει-α
ανεπιθύμητη α-νε-πι-θύ-μη-τη
ανεπίστρεπτο α-νε-πί-στρε-πτο
ανέπνεα α-νέ-πνε-α
ανέπνευσα α-νέ-πνευ-σα
ανεπτυγμένο α-νε-πτυγ-μέ-νο
ανέπτυξε α-νέ-πτυ-ξε
ανεργία α-νερ-γί-α
ανεργίας α-νερ-γί-ας
ανέρρωσα α-νέ-ρρω-σα
ανέσεις α-νέ-σεις
άνευ ά-νευ
ανέφερε α-νέ-φε-ρε
ανεφοδιασμός α-νε-φο-δια-σμός
ανεχθεί α-νε-χθεί
ανέχθηκα α-νέ-χθη-κα
ανέχομαι α-νέ-χο-μαι
ανεχόμουν α-νε-χό-μουν
ανήθικες α-νή-θι-κες
ανήκει α-νή-κει
ανήκουν α-νή-κουν
ανήκω α-νή-κω
ανησυχώ α-νη-συ-χώ
ανθεκτικότητα αν-θε-κτι-κό-τη-τα
άνθηση άν-θη-ση
Ανθομελίδης Αν-θο-με-λί-δης
ανθός αν-θός
ανθρώπινες αν-θρώ-πι-νες
ανθρώπινη αν-θρώ-πι-νη
ανθρώπινης αν-θρώ-πι-νης
ανθρώπινο αν-θρώ-πι-νο
ανθρώπινος αν-θρώ-πι-νος
ανθρώπινου αν-θρώ-πι-νου
ανθρωπιστικά αν-θρω-πι-στι-κά
ανθρωπιστικός αν-θρω-πι-στι-κός
άνθρωπο άν-θρω-πο
άνθρωποι άν-θρω-ποι
ανθρωπολογία αν-θρω-πο-λο-γί-α
ανθρωπομορφισμού αν-θρω-πο-μορ-φι-σμού
άνθρωπος άν-θρω-πος
ανθρωπότητα αν-θρω-πό-τη-τα
ανθρωπότητας αν-θρω-πό-τη-τας
ανθρώπου αν-θρώ-που
ανθρώπους αν-θρώ-πους
ανθρώπων αν-θρώ-πων
ανία α-νί-α
ανικανότητα α-νι-κα-νό-τη-τα
ανισόρροπος α-νι-σό-ρρο-πος
ανισότητα α-νι-σό-τη-τα
ανισότητας α-νι-σό-τη-τας
ανισότητες α-νι-σό-τη-τες
ανιχνευθεί α-νι-χνε-υθεί
ανίχνευση α-νί-χνευ-ση
ανιχνεύσιμο α-νι-χνεύ-σι-μο
άνοδο ά-νο-δο
άνοδος ά-νο-δος
ανοησία α-νο-η-σί-α
άνοιγα ά-νοι-γα
άνοιγε ά-νοι-γε
ανοίγει α-νοί-γει
ανοίγοντας α-νοί-γο-ντας
ανοίγω α-νοί-γω
ανοικτό α-νοι-κτό
άνοιξα ά-νοι-ξα
άνοιξε ά-νοι-ξε
ανοίξει α-νοί-ξει
ανοίξετε α-νοί-ξε-τε
ανοίξουν α-νοί-ξουν
ανοίξω α-νοί-ξω
ανοιχτές α-νοι-χτές
ανοιχτό α-νοι-χτό
ανοιχτού α-νοι-χτού
ανόργανη α-νόρ-γα-νη
ανόργανος α-νόρ-γα-νος
ανορθολογισμός α-νορ-θο-λο-γι-σμός
ανοσολογική α-νο-σο-λο-γι-κή
ανοσοποιητική α-νο-σο-ποι-η-τι-κή
ανταγωνισμός α-ντα-γω-νι-σμός
ανταγωνιστικότητας α-ντα-γω-νι-στι-κό-τη-τας
ανταλλαγές α-ντα-λλα-γές
ανταλλαγή α-ντα-λλα-γή
ανταλλαγής α-ντα-λλα-γής
αντάλλαγμα α-ντά-λλαγ-μα
ανταλλάγματα α-ντα-λλάγ-μα-τα
αντάλλασσαν α-ντά-λλα-σσαν
ανταλλάσσει α-ντα-λλά-σσει
ανταλλάσσουν α-ντα-λλά-σσουν
ανταλλάσσω α-ντα-λλά-σσω
’νταμ ’-νταμ
ανταμοιβή α-ντα-μοι-βή
αντάξιος α-ντά-ξι-ος
αντάρτικα α-ντάρ-τι-κα
αντένδειξη α-ντέν-δει-ξη
άντεξα ά-ντε-ξα
αντέξει α-ντέ-ξει
αντεπεξέλθει α-ντε-πε-ξέλ-θει
αντεπεξέρχομαι α-ντε-πε-ξέρ-χο-μαι
αντεπεξερχόμουν α-ντε-πε-ξερ-χό-μουν
αντεπεξήλθα α-ντε-πε-ξήλ-θα
αντεπίθεση α-ντε-πί-θε-ση
’ντερσον ’-ντερ-σον
αντετιθέμην α-ντε-τι-θέ-μην
άντεχα ά-ντε-χα
αντέχω α-ντέ-χω
αντί α-ντί
αντιβιοτικό α-ντι-βι-ο-τι-κό
αντιβραχίονας α-ντι-βρα-χί-ο-νας
